VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ID	DEDUP_SUFFIX	COMPOSITE_ID
080	000100	2022012	1000010182	00276944	45244782	Česká spořitelna, a.s.	Ú	C10 - 14	CZK	1,95	20040422	20240228	bez zajištění	25000000.00 	25000000.00 	23437470.00 	48704.60 	00276944-45244782-20040422-20240228-25000000		00276944-45244782-20040422-20240228-25000000
080	000100	2022012	1000010182	00276944	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce ČOV	CZK	1,65	20130628	20230630	bez ručení	48000000.00 	48000000.00 	45333390.00 	93700.40 	00276944-45244782-20130628-20230630-48000000		00276944-45244782-20130628-20230630-48000000
080	000100	2022012	1000010182	00276944	45244782	Česká spořitelna, a.s.	Ú	Výstavba krytého plaveckého bazénu	CZK	1,76	20090727	20290630	zástava nemovitosti, vinkulace pojistného plnění	65000000.00 	65000000.00 	43333344.00 	1185194.30 	00276944-45244782-20090727-20290630-65000000		00276944-45244782-20090727-20290630-65000000
080	000100	2022012	1000010182	00276944	45244782	Česká spořitelna, a.s.	Ú	Úvěr na pořízení investic	CZK	1,25	20170406	20370331	bez ručení	100000000.00 	100000000.00 	19718328.00 	1055782.90 	00276944-45244782-20170406-20370331-100000000		00276944-45244782-20170406-20370331-100000000
080	000100	2022012	1000010182	00276944	00020729	Státní fond životního prostředí České republiky	Z	Rekonstrukce strojovny zimního stadionu v Litomyšli	CZK	0,45	20191113	20291231	bez ručení	8699550.00 	8699550.00 	2610005.63 	30828.40 	00276944-00020729-20191113-20291231-8699550		00276944-00020729-20191113-20291231-8699550
080	000100	2022012	1000010184	00276791	45244782	Česká spořitelna, a.s.	Ú	zlepšení technických vlastností bytů	CZK	2,49	20181217	20301231	vlatními příjmy	18000000.00 	18000000.00 	4909093.20 	746641.50 	00276791-45244782-20181217-20301231-18000000		00276791-45244782-20181217-20301231-18000000
080	000100	2022012	1000010184	00276791	45317054	Komerční banka, a.s.	Ú	stavební úpravy kina Astra	CZK	1,44	20210216	20401231	vlastními příjmy	30000000.00 	30000000.00 	0.00 	288559.87 	00276791-45317054-20210216-20401231-30000000		00276791-45317054-20210216-20401231-30000000
080	000100	2022012	1000010188	00277908	45244782	Česká spořitelna, a.s.	Ú	financování Projektu	CZK	1,43	20170412	20310531	Nejsou zajištěny žádnými zajišťovacími prostředky.	80000000.00 	80000000.00 	19527244.16 	3762326.60 	00277908-45244782-20170412-20310531-80000000		00277908-45244782-20170412-20310531-80000000
080	000100	2022012	1000010219	00277819	00001350	Československá obchodní banka, a. s.	Ú	Financování investičních záměrů města v letech 2021 - 2023	CZK	3,57	20210629	20381231	bez zajištění	160000000.00 	52809183.38 	0.00 	0.00 	00277819-00001350-20210629-20381231-160000000		00277819-00001350-20210629-20381231-160000000
080	000100	2022012	1000010220	00277967	00001350	Československá obchodní banka, a. s.	Ú	Nákup budovy Pošty čp.274 Janské Lázně	CZK	2,96	20211208	20321231	Není	7000000.00 	7000000.00 	0.00 	28972.22 	00277967-00001350-20211208-20321231-7000000		00277967-00001350-20211208-20321231-7000000
080	000100	2022012	1000010221	00278181	45317054	Komerční banka, a.s.	Ú	Dopravní terminál Pec pod Sněžkou	CZK	2,27	20180822	20360630	žádné	130000000.00 	130000000.00 	21480000.00 	6865140.81 	00278181-45317054-20180822-20360630-130000000		00278181-45317054-20180822-20360630-130000000
