VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2022012	1000015345	69609926	0		Ú	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	69609926-00000000-20221231-20221231-0	a3d2de76-cfcd2084	69609926-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015418	297445	0		NFV	0	CZK	0	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297445-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015418	297445	0		Z	0	CZK	0	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297445-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015418	297445	0		Ú	0	CZK	0	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00297445-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297445-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015420	297585	0		NFV	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00297585-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297585-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015420	297585	0		Z	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00297585-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297585-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015435	297658	0		NFV	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00297658-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297658-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015435	297658	0		Z	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00297658-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00297658-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015436	562424	0		NFV	0	CZK	0,00	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00562424-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00562424-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015436	562424	0		Z	0	CZK	0,00	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00562424-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00562424-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000015436	562424	0		Ú	0	CZK	0,00	20221231	20221231	0	0	0	0	0	Invalid ICO					2022	00562424-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00562424-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000016157	300713	0		NFV	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00300713-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000016157	300713	0		Z	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00300713-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000016157	300713	0		Ú	0	CZK	0	20221231	20221231	bez ručení	0	0	0	0	Invalid ICO					2022	00300713-00000000-20221231-20221231-0	a3d2de76-cfcd2084	00300713-00000000-20221231-20221231-0-a3d2de76-cfcd2084-2022	ZERO_LOAN
80	100	2022012	1000016162	300845	111	Fyzická osoba	NFV	nemáme NFV	CZK	0	20230125	20230125	žádné	0	0	0	0	Not Found					2022	00300845-00000111-20230125-20230125-0	b0a0b448-19cbe994	00300845-00000111-20230125-20230125-0-b0a0b448-19cbe994-2022	ZERO_LOAN
80	100	2022012	1000016162	300845	111	Fyzická osoba	Z	nemáme zapůjčku	CZK	0	20230125	20230125	žádné	0	0	0	0	Not Found					2022	00300845-00000111-20230125-20230125-0	b0a0b448-e5e0f443	00300845-00000111-20230125-20230125-0-b0a0b448-e5e0f443-2022	ZERO_LOAN
