"""""""Výkaz""""""ZC_VYKAZ:ZC_VYKAZ";"""""""Tabulka výkazu""""""ZC_VTAB:ZC_VTAB";"""""""Fiskální období""""""0FISCPER:0FISCPER";"""""""Účetní jednotka""""""ZC_UCJED:ZC_UCJED";"""""""IČO""""""ZC_ICO:ZC_ICO";"""""""IČO poskytovatele""""""/BIC/ZC_PARTP:ZC_PARTP";"""""""Název poskytovatele""""""/BIC/ZC_NAZPOS:ZC_NAZPOS";"""""""Určení""""""/BIC/ZC_URCN:ZC_URCN";"""""""Účel""""""/BIC/ZC_UCFP:ZC_UCFP";"""""""Kód měny""""""CURRENCY:0CURRENCY";"""""""Úroková sazba v %""""""/BIC/ZC_URSA:ZC_URSA";"""""""Okamžik uzavření smlouvy""""""/BIC/ZC_DATUS:ZC_DATUS";"""""""Termín splatnosti""""""/BIC/ZC_TERSPL:ZC_TERSPL";"""""""Způsob ručení""""""/BIC/ZC_ZPRUC:ZC_ZPRUC";"""""""Sjednaná výše U/Z/NFV""""""KYF_0002:ZU_VYUV";"""""""Čerpaná výše U/Z/NVF""""""KYF_0004:ZU_CEUV";"""""""Splacená výše jistiny U/Z/NFV""""""KYF_0006:ZU_SPJUV";"""""""Výše zaplacených úroků a poplatků""""""KYF_0008:ZU_ZAPUP"
080;000100;2024012;1000000444;00508501;45244782;Česká spořitelna, a.s.;Ú;Výstavba kanalizace;CZK;2,04;20171009;20251220;10;6000000.00 ;4767406.58 ;4767406.58 ;280242.70 
080;000100;2024012;1000000445;00231401;45317054;Komerční banka, a.s.;Ú;výstavba terminálu a parkovacího domu;CZK;3M PRIBOR+0,02% p.a.;20180207;20321231;01;250000000.00 ;42510051.08 ;42510051.08 ;985703.37 
080;000100;2024012;1000000449;00233242;45244782;Česká spořitelna, a.s.;Ú;Financování dluhu a Projektu;CZK;1,69;20180202;20260920;01;46600000.00 ;46428364.55 ;36405000.00 ;3342831.20 
080;000100;2024012;1000000450;00233269;45244782;Česká spořitelna, a.s.;Ú;II.etapa vodovod a kanalizace;CZK;0,84;20160830;20370630;01;21000000.00 ;21000000.00 ;7460688.67 ;1126197.60 
080;000100;2024012;1000000450;00233269;45244782;Česká spořitelna, a.s.;Ú;nová ČOV, I.etapa vodovod a kanalizace;CZK;0,99;20150514;20351231;01;15000000.00 ;15000000.00 ;6373534.03 ;1216018.97 
080;000100;2024012;1000000450;00233269;45244782;Česká spořitelna, a.s.;Ú;revitalizace náměstí;CZK;0,94;20150401;20351231;01;17000000.00 ;17000000.00 ;8144053.57 ;1258021.21 
080;000100;2024012;1000000469;00233129;00001350;Československá obchodní banka, a. s.;Ú;refinancování zůstatku úvěru a předfinancování investičních projektů;CZK;6.95;20210715;20240315;01;190000000.00 ;0.00 ;0.00 ;8313355.84 
080;000100;2024012;1000000469;00233129;00001350;Československá obchodní banka, a. s.;Ú;rerefinancování zůstatku úvěru a předfinancování investičních projektů;CZK;4.01;20240315;20431228;01;340000000.00 ;10000000.00 ;0.00 ;1367508.33 
080;000100;2024012;1000000469;00233129;00509701;Město Králův Dvůr;Ú;kanalizace v aglomeraci Beroun;CZK;0.00;20060525;20281231;01;26485199.23 ;26485199.23 ;0.00 ;0.00 
080;000100;2024012;1000000469;00233129;46356975;Vodovody a kanalizace Beroun, a.s.;Ú;výstavba kanalizace v aglomeraci Beroun;CZK;6.72;20060926;20290101;01;29028999.70 ;29028999.70 ;7856790.00 ;11608288.57 
