VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
080	000100	2021012	1000014583	00295621	00001350	Československá obchodní banka, a. s.	Ú	in. sítě, komunikace	CZK	20161010	20211020	blankosměnka	1500000.00 	1497006.00 	1497006.00 	72587.20 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014583	00295621	00001350	Československá obchodní banka, a. s.	Ú	sociální byty Jim	CZK	20210118	20220630	Bez ručení	5000000.00 	3050153.00 	3050153.00 	21734.00 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45244782	Česká spořitelna, a.s.	Ú	Revitalizace ZŠ Tišnovská 115 Velká Bíteš	CZK	20171127	20271231	není sjednán	40000000.00 	40000000.00 	10000008.00 	1083947.80 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Dofin.Revitalizace ZŠ Tišnovská 115 V.Bíteš vč.předprostoru	CZK	20190726	20281231	není sjednán	35000000.00 	35000000.00 	2040000.00 	1376513.89 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Inženýrské sítě na Babinci 2.etapa	CZK	20171127	20230930	není sjednán	20000000.00 	20000000.00 	12692000.00 	1034268.45 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Vybudování inžen.sítí a infrastruktury v lok.Babinec I.,II.etapa	CZK	20160624	20221231	není sjednán	30000000.00 	29959508.20 	24000000.00 	1447187.32 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Výkup pozemků v lokal.Babinec pro plán.výstavbu RD a zřízení inž.sítí	CZK	20140730	20241231	není sjednán	20000000.00 	17062200.00 	14000028.00 	791184.87 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Zateplení budov ZŠ a okružní křižovatka	CZK	20150623	20231231	není sjednán	20000000.00 	20000000.00 	16400000.00 	736122.02 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014584	00295647	45317054	Komerční banka, a.s.	Ú	Zkapacitnění obj.MŠ V.Bíteš,Mas.nám.86 a nov.14BD inž.sítě a infr.	CZK	20210211	20301231	není sjednán	60000000.00 	19842307.57 	0.00 	70335.83 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014585	00295655	00001350	Československá obchodní banka, a. s.	Ú	Modernizace a zkvalitnění výuky ZŠ a MŠ Velká Losenice	CZK	20140122	20240124	blankosměnka	6400000.00 	5041053.00 	3822000.00 	541543.74 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014586	00295671	45317054	Komerční banka, a.s.	Ú	Bytový dům pro seniory Velké Meziříčí-financování projektu	CZK	20210629	20321031	bez ručení	56000000.00 	2642540.00 	0.00 	0.00 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014586	00295671	00001350	Československá obchodní banka, a. s.	Ú	Víceúčelový sál JUPITECLUB Velké Meziříčí-financování stavby	CZK	20130708	20241231	bez ručení	100000000.00 	98463464.00 	70000000.00 	5505271.68 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014589	00295752	45317054	Komerční banka, a.s.	Ú	Nákup pozemků	CZK	20170315	20270131	Zástavní právo k nemovitostem	4000000.00 	4000000.00 	1820070.04 	177977.84 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014590	00295761	45244782	Česká spořitelna, a.s.	Ú	Stavební úpravy objektu MŠ	CZK	20161219	20260120	bez zajištění	5200000.00 	5200000.00 	3000000.00 	214159.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014590	00295761	45317054	Komerční banka, a.s.	Ú	Stavební úpravy ZŠ	CZK	20200824	20221231	blankosměnka	11243000.00 	11243000.00 	0.00 	97999.44 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014590	00295761	45317054	Komerční banka, a.s.	Ú	Stavební úpravy ZŠ a financování vybavení ZŠ	CZK	20200824	20260531	blankosměnka	3000000.00 	2671954.22 	0.00 	13872.16 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014592	00295841	00001350	Československá obchodní banka, a. s.	Ú	Telemaatika -světelná signalizační zařízení, Výkupy pozemků pro průmyslovou zónu, Cyklostezky	CZK	20190614	20241220	bez zajištění	57000000.00 	57000000.00 	40000000.00 	981642.87 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014592	00295841	00001350	Československá obchodní banka, a. s.	Ú	financování kapitálových výdajů	CZK	20210329	20311229	bez zajištění	40000000.00 	0.00 	0.00 	0.00 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014592	00295841	00001350	Československá obchodní banka, a. s.	Ú	stavení úpravy a přístavbu objektu společensko relaxačního centra	CZK	20110901	20210618	dlohoda o vyplňovacím právu směnečném č. 1212/11/5638	45000000.00 	45000000.00 	45000000.00 	4928252.85 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014592	00295841	00001350	Československá obchodní banka, a. s.	Ú	technické infrastruktury části města Klafar, rekonstrukce kina Vysočina a rekonstrukce povrchů ulic	CZK	20170328	20241229	bez zajištění	40000000.00 	40000000.00 	22880000.00 	938316.71 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014595	00374440	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	nový Traktor John Deere PowerTech     nový čelní nakladač TracLift	CZK	20200609	20220630	Zástavní právo	1837497.00 	1837497.00 	1574993.00 	15987.44 	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000014597	00374466	00001350	Československá obchodní banka, a. s.	Ú	Výstavba inženýrských sítí pro výstavbu RD v lokalitě Pod Pahýblem, 1.etapa	CZK	20211020	20321220	příjmy	20000000.00 	2138593.32 	0.00 	764.18 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
